  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.62620  14.64520     0.050     29750     26649      3469
  14.62587  14.64486     0.050     29736     26644      3469
  14.62554  14.64452     0.050     29721     26631      3464
  14.62521  14.64418     0.050     29732     26644      3469
  14.62488  14.64383     0.050     29718     26637      3467
  14.62455  14.64346     0.050     29683     26611      3465
  14.62422  14.64310     0.050     29626     26562      3460
  14.62389  14.64275     0.050     29496     26453      3445
  14.62356  14.64242     0.050     29316     26312      3427
  14.62323  14.64210     0.050     29228     26211      3416
  14.62290  14.64178     0.050     29124     26123      3402
  14.62257  14.64147     0.050     29041     26043      3394
  14.62224  14.64115     0.050     29108     26114      3404
  14.62191  14.64083     0.050     29161     26170      3407
  14.62158  14.64052     0.050     29199     26216      3416
  14.62125  14.64022     0.050     29307     26309      3428
  14.62092  14.63994     0.050     29492     26473      3451
  14.62059  14.63967     0.050     29575     26544      3462
  14.62026  14.63942     0.050     29683     26661      3476
  14.61993  14.63915     0.050     29774     26730      3487
  14.61960  14.63889     0.050     29806     26769      3491
  14.61927  14.63861     0.050     29785     26754      3489
  14.61894  14.63833     0.050     29770     26750      3492
  14.61861  14.63804     0.050     29803     26760      3497
  14.61828  14.63776     0.050     29794     26765      3492
  14.61795  14.63748     0.050     29746     26729      3494
  14.61762  14.63720     0.050     29812     26783      3500
  14.61729  14.63688     0.050     29769     26763      3494
  14.61696  14.63654     0.050     29754     26761      3493
  14.61663  14.63618     0.050     29772     26773      3495
  14.61630  14.63580     0.050     29788     26796      3500
  14.61597  14.63543     0.050     29718     26742      3496
  14.61564  14.63507     0.050     29701     26710      3490
